# 
# Header Description:
# 
# Version: v3.10.5 (24099-google), Manufacturer: Xiaomi, Model: M2012K11AG, GNSS HW Year: 2020, Platform: 12, API Level: 32 
# 
# Raw GNSS measurements format:
#   Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
# 
# Location fix format: (This is the one we want**************)
#   Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation
# 
# Navigation message format:
#   Nav,Svid,Type,Status,MessageId,Sub-messageId,Data(Bytes)
# 
# NMEA format (for [NMEA sentence] format see https://en.wikipedia.org/wiki/NMEA_0183):
#   NMEA,[NMEA sentence],(UTC)TimeInMs
# 
# GnssAntennaInfo format (https://developer.android.com/reference/android/location/GnssAntennaInfo):
#   GnssAntennaInfo,CarrierFrequencyMHz,PhaseCenterOffsetXOffsetMm,PhaseCenterOffsetXOffsetUncertaintyMm,PhaseCenterOffsetYOffsetMm,PhaseCenterOffsetYOffsetUncertaintyMm,PhaseCenterOffsetZOffsetMm,PhaseCenterOffsetZOffsetUncertaintyMm,PhaseCenterVariationCorrectionsArray,PhaseCenterVariationCorrectionUncertaintiesArray,PhaseCenterVariationCorrectionsDeltaPhi,PhaseCenterVariationCorrectionsDeltaTheta,SignalGainCorrectionsArray,SignalGainCorrectionUncertaintiesArray,SignalGainCorrectionsDeltaPhi,SignalGainCorrectionsDeltaTheta
# 
# GnssStatus format (https://developer.android.com/reference/android/location/GnssStatus):
#   Status,UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
# Orientation sensor format (https://developer.android.com/reference/android/hardware/SensorEvent#values):
#   OrientationDeg,utcTimeMillis,elapsedRealtimeNanos,yawDeg,rollDeg,pitchDeg
Fix,gps,52.17133887,0.17104992,86.9072265625,0.0,3.7900925,0.0,1741096864000,0.086023256,,327958204986255,2.5,0
Fix,gps,52.17133884,0.17104999,86.9053955078125,0.0,3.7900925,0.0,1741096865000,0.086023256,,327959212572609,2.5,0
Fix,gps,52.17133884,0.17105,86.9039306640625,0.0,3.7900925,0.0,1741096866000,0.086023256,,327960212551411,2.5,0
Fix,gps,52.17133329,0.1710547,87.5694580078125,0.0,3.7900925,0.0,1741096867000,0.8544004,,327961198289952,2.5,0
Fix,gps,52.1713328,0.17104905,87.03533935546875,0.0,3.7900925,0.0,1741096868000,0.086023256,,327962199958285,2.5,0
Fix,gps,52.17133383,0.17104581,87.37396240234375,0.0,3.7900925,0.0,1741096869000,0.086023256,,327963211237035,2.5,0
Fix,gps,52.17133153,0.17104433,87.351318359375,0.0,3.7900925,0.0,1741096870000,0.086023256,,327964207156045,2.5,0
Fix,gps,52.17133418,0.17104143,87.72723388671875,0.32,3.7900925,325.9,1741096871000,0.9013878,80.55788,327965196918805,2.5,0
Fix,gps,52.17133188,0.17104017,87.671142578125,0.0,3.7900925,0.0,1741096872000,0.086023256,,327966214164742,2.5,0
Fix,gps,52.17132678,0.17104408,87.82733154296875,0.0,3.7900925,0.0,1741096873000,0.086023256,,327967216338752,2.5,0
Fix,gps,52.17132569,0.17104679,87.79229736328125,0.0,3.7900925,0.0,1741096874000,0.086023256,,327968212075314,2.5,0
Fix,gps,52.17132175,0.17104353,87.3095703125,0.26,3.7900925,177.6,1741096875000,0.8575547,84.91791,327969206343803,2.5,0
Fix,gps,52.17132042,0.17104062,86.931640625,0.0,3.7900925,0.0,1741096876000,0.086023256,,327970211978907,2.5,0
Fix,gps,52.1713198,0.17103657,86.84002685546875,0.0,3.7900925,0.0,1741096877000,0.086023256,,327971207827500,2.5,0
Fix,gps,52.17131869,0.17103403,86.441162109375,0.0,3.7900925,0.0,1741096878000,0.086023256,,327972214695052,2.5,0
Fix,gps,52.17131726,0.17103228,85.968505859375,0.0,3.7900925,0.0,1741096879000,0.086023256,,327973216992552,2.5,0
Fix,gps,52.17131478,0.17103213,85.303466796875,0.0,3.7900925,0.0,1741096880000,0.086023256,,327974212861926,2.5,0
Fix,gps,52.17131246,0.17103001,84.93707275390625,0.0,3.7900925,0.0,1741096881000,0.086023256,,327975221679270,2.5,0
Fix,gps,52.17131108,0.17102758,84.47344970703125,0.0,3.7900925,0.0,1741096882000,0.086023256,,327976217992446,2.5,0
Fix,gps,52.17130962,0.17102501,84.4251708984375,0.0,3.7900925,0.0,1741096883000,0.086023256,,327977216554477,2.5,0
Fix,gps,52.1713086,0.17102222,84.23883056640625,0.0,3.7900925,0.0,1741096884000,0.086023256,,327978210886404,2.5,0
Fix,gps,52.17130773,0.17101815,83.9468994140625,0.0,3.7900925,0.0,1741096885000,0.086023256,,327979211927549,2.5,0
Fix,gps,52.17130721,0.17101697,83.8643798828125,0.0,3.7900925,0.0,1741096886000,0.086023256,,327980208609528,2.5,0
Fix,gps,52.17130707,0.17101633,83.8751220703125,0.0,3.7900925,0.0,1741096887000,0.086023256,,327981209759319,2.5,0
Fix,gps,52.17130698,0.17101608,83.86688232421875,0.0,3.7900925,0.0,1741096888000,0.086023256,,327982202726194,2.5,0
Fix,gps,52.17130696,0.17101597,83.865478515625,0.0,3.7900925,0.0,1741096889000,0.086023256,,327983201492131,2.5,0
Fix,gps,52.17130695,0.17101591,83.861328125,0.0,3.7900925,0.0,1741096890000,0.086023256,,327984216112391,2.5,0
Fix,gps,52.17130695,0.17101589,83.85986328125,0.0,3.7900925,0.0,1741096891000,0.086023256,,327985211475099,2.5,0
Fix,gps,52.17130694,0.17101588,83.86053466796875,0.0,3.7900925,0.0,1741096892000,0.086023256,,327986208176609,2.5,0
Fix,gps,52.17130692,0.17101589,83.8577880859375,0.0,3.7900925,0.0,1741096893000,0.086023256,,327987212558848,2.5,0
Fix,gps,52.17130689,0.17101589,83.8568115234375,0.0,3.7900925,0.0,1741096894000,0.086023256,,327988209479473,2.5,0
Fix,gps,52.17130688,0.1710159,83.85662841796875,0.0,3.7900925,0.0,1741096895000,0.086023256,,327989212440150,2.5,0
Fix,gps,52.1713071,0.17101592,83.869873046875,0.0,3.7900925,0.0,1741096896000,0.086023256,,327990220649785,2.5,0
Fix,gps,52.17130713,0.17101591,83.86627197265625,0.0,3.7900925,0.0,1741096897000,0.086023256,,327991218608326,2.5,0
Fix,gps,52.17130713,0.17101592,83.8643798828125,0.0,3.7900925,0.0,1741096898000,0.086023256,,327992205463430,2.5,0
Fix,gps,52.17130711,0.17101595,83.86407470703125,0.0,3.7900925,0.0,1741096899000,0.0781025,,327993213503169,2.5,0
Fix,gps,52.17130711,0.17101593,83.86572265625,0.0,3.7900925,0.0,1741096900000,0.086023256,,327994203705200,2.5,0
Fix,gps,52.17130704,0.17101606,83.85382080078125,0.0,3.7900925,0.0,1741096901000,0.086023256,,327995205355981,2.5,0
Fix,gps,52.17130701,0.17101607,83.85302734375,0.0,3.7900925,0.0,1741096902000,0.086023256,,327996212523741,2.5,0
Fix,gps,52.17130699,0.17101607,83.8529052734375,0.0,3.7900925,0.0,1741096903000,0.086023256,,327997207678168,2.5,0
Fix,gps,52.17130698,0.17101609,83.858154296875,0.0,3.7900925,0.0,1741096904000,0.086023256,,327998213905303,2.5,0
Fix,gps,52.17130693,0.17101617,83.8597412109375,0.0,3.7900925,0.0,1741096905000,0.086023256,,327999220971292,2.5,0
Fix,gps,52.17130689,0.17101626,83.8648681640625,0.0,3.7900925,0.0,1741096906000,0.086023256,,328000215689677,2.5,0
Fix,gps,52.17130686,0.17101636,83.8707275390625,0.0,3.7900925,0.0,1741096907000,0.086023256,,328001210815406,2.5,0
Fix,gps,52.17130682,0.17101643,83.87396240234375,0.0,3.7900925,0.0,1741096908000,0.086023256,,328002208228426,2.5,0
Fix,gps,52.1713068,0.17101649,83.8812255859375,0.0,3.7900925,0.0,1741096909000,0.086023256,,328003202039624,2.5,0
Fix,gps,52.17130679,0.17101653,83.8848876953125,0.0,3.7900925,0.0,1741096910000,0.086023256,,328004210547957,2.5,0
Fix,gps,52.17130677,0.17101661,83.8875732421875,0.0,3.7900925,0.0,1741096911000,0.086023256,,328005246050664,2.5,0
Fix,gps,52.17130674,0.17101669,83.89300537109375,0.0,3.7900925,0.0,1741096912000,0.086023256,,328006204948372,2.5,0
Fix,gps,52.17130671,0.17101677,83.897705078125,0.0,3.7900925,0.0,1741096913000,0.086023256,,328007211697643,2.5,0
Fix,gps,52.17130667,0.17101685,83.89990234375,0.0,3.7900925,0.0,1741096914000,0.086023256,,328008207088476,2.5,0
Fix,gps,52.17130659,0.17101664,83.86102294921875,0.0,3.7900925,0.0,1741096915000,0.086023256,,328009204425871,2.5,0
Fix,gps,52.17130662,0.17101685,83.909912109375,0.0,3.7900925,0.0,1741096916000,0.086023256,,328010206695871,2.5,0
Fix,gps,52.17131031,0.17101489,84.345458984375,0.37,3.7900925,343.2,1741096917000,0.9596354,79.02322,328011217269777,2.5,0
Fix,gps,52.17131185,0.17101499,84.52667236328125,0.0,3.7900925,0.0,1741096918000,0.10630146,,328012213254203,2.5,0
Fix,gps,52.17130787,0.17102307,83.96087646484375,0.0,3.7900925,0.0,1741096919000,0.080622576,,328013201344411,2.5,0
Fix,gps,52.17130443,0.17103013,83.4869384765625,0.0,3.7900925,0.0,1741096920000,0.086023256,,328014217204099,2.5,0
Fix,gps,52.17130083,0.17103738,83.14337158203125,0.0,3.7900925,0.0,1741096921000,0.086023256,,328015209667432,2.5,0
Fix,gps,52.17129793,0.1710425,82.8046875,0.0,3.7900925,0.0,1741096922000,0.086023256,,328016216784306,2.5,0
Fix,gps,52.17129614,0.17104512,82.65576171875,0.0,3.7900925,0.0,1741096923000,0.086023256,,328017217689514,2.5,0
Fix,gps,52.1712938,0.17104748,82.5101318359375,0.0,3.7900925,0.0,1741096924000,0.086023256,,328018213827535,2.5,0
Fix,gps,52.17129525,0.1710435,82.859130859375,0.23,3.7900925,320.2,1741096925000,0.8682166,87.208466,328019206714357,2.5,0
